City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Chicama,PE,-7.8447,-79.1469,63.14,61,51,10.63,broken clouds
79,Punta Arenas,CL,-53.15,-70.9167,51.91,62,75,10.36,broken clouds
80,New Norfolk,AU,-42.7826,147.0587,52.72,67,100,1.77,overcast clouds
81,Eureka,US,40.8021,-124.1637,57.36,71,100,10.0,overcast clouds
82,Sao Joao Da Barra,BR,-21.6403,-41.0511,80.69,66,27,13.47,scattered clouds
83,Jeremie,HT,18.65,-74.1167,80.55,74,34,3.15,scattered clouds
84,Vangaindrano,MG,-23.35,47.6,74.66,88,98,5.7,light rain
85,Komsomolskiy,UZ,40.4272,71.7189,70.52,46,86,2.3,overcast clouds
86,Upernavik,GL,72.7868,-56.1549,7.57,91,100,1.79,light snow
87,Manoel Urbano,BR,-8.8389,-69.2597,84.99,57,85,5.21,overcast clouds
88,Fortuna,US,40.5982,-124.1573,57.09,81,100,23.02,light rain
89,Souillac,MU,-20.5167,57.5167,79.18,94,40,10.36,scattered clouds
90,Aklavik,CA,68.2191,-135.0107,15.8,48,0,6.91,clear sky
91,Dodge City,US,37.7528,-100.0171,56.25,39,40,5.01,scattered clouds
92,Umm Lajj,SA,25.0213,37.2685,85.87,35,97,3.18,overcast clouds
93,Dwarka,IN,22.2394,68.9678,80.62,78,5,12.08,clear sky
94,Tuktoyaktuk,CA,69.4541,-133.0374,8.6,66,0,6.91,clear sky
95,Dunedin,NZ,-45.8742,170.5036,52.81,85,91,4.99,overcast clouds
96,Belyy Yar,RU,53.6039,91.3903,48.09,46,0,8.95,light rain
97,Dikson,RU,73.5069,80.5464,2.35,94,100,13.27,overcast clouds
98,Mathbaria,BD,22.2876,89.9593,79.05,90,25,4.07,scattered clouds
99,Isangel,VU,-19.55,169.2667,78.3,86,100,5.1,overcast clouds
100,Castro,BR,-24.7911,-50.0119,67.62,57,43,3.18,scattered clouds
101,Torbay,CA,47.6666,-52.7314,45.39,63,40,27.63,scattered clouds
102,San Juan,AR,-31.5375,-68.5364,81.23,22,0,5.99,clear sky
103,Albany,US,42.6001,-73.9662,57.92,31,50,3.0,scattered clouds
104,Khani,GE,41.9563,42.9566,67.57,62,58,9.37,broken clouds
105,Lensk,RU,60.7253,114.9278,25.34,84,100,13.18,overcast clouds
106,Ancud,CL,-41.8697,-73.8203,55.22,69,86,6.11,overcast clouds
107,Safford,US,32.834,-109.7076,84.11,5,1,8.46,clear sky
108,Paamiut,GL,61.994,-49.6678,27.37,78,100,26.13,overcast clouds
109,Severnoye,RU,56.3491,78.3619,32.4,78,43,6.51,scattered clouds
110,Angers,FR,47.4667,-0.55,60.82,67,100,10.76,overcast clouds
111,Wanlaweyn,SO,2.6185,44.8938,82.62,72,100,12.46,overcast clouds
112,Saurimo,AO,-9.6608,20.3916,67.33,94,96,3.65,moderate rain
113,Namatanai,PG,-3.6667,152.4333,80.4,80,100,9.22,light rain
114,Iqaluit,CA,63.7506,-68.5145,-0.31,70,100,3.44,overcast clouds
115,Aljezur,PT,37.3191,-8.8033,58.3,76,0,22.5,clear sky
116,Lanxi,CN,29.2195,119.477,52.45,96,100,1.25,overcast clouds
117,Port Alfred,ZA,-33.5906,26.891,60.19,95,46,2.28,scattered clouds
118,San Cristobal,VE,7.7669,-72.225,78.98,56,96,5.93,overcast clouds
119,Nikolskoye,RU,59.7035,30.7861,46.29,87,89,3.18,overcast clouds
120,Nieuw Amsterdam,SR,5.8833,-55.0833,82.56,79,20,6.91,few clouds
121,Guerrero Negro,MX,27.9769,-114.0611,69.89,59,80,16.26,broken clouds
122,Port Lincoln,AU,-34.7333,135.8667,58.08,65,45,10.83,scattered clouds
123,Fort Nelson,CA,58.8053,-122.7002,20.79,49,40,9.22,scattered clouds
124,Bredasdorp,ZA,-34.5322,20.0403,60.53,94,3,7.29,clear sky
125,Bilma,NE,18.6853,12.9164,84.99,14,24,10.98,few clouds
126,Kodiak,US,57.79,-152.4072,38.71,70,100,11.5,overcast clouds
127,Inta,RU,66.0317,60.1659,28.62,96,99,11.74,overcast clouds
128,Otane,NZ,-39.8833,176.6333,57.0,98,70,4.03,broken clouds
129,Vestmannaeyjar,IS,63.4427,-20.2734,47.39,71,0,20.71,clear sky
130,East London,ZA,-33.0153,27.9116,65.34,94,100,10.36,light rain
131,Camacha,PT,33.0833,-16.3333,60.22,72,75,16.11,broken clouds
132,Batsfjord,NO,70.6345,29.7185,40.78,81,100,12.66,overcast clouds
133,Cidreira,BR,-30.1811,-50.2056,70.99,67,89,12.26,overcast clouds
134,Kaitangata,NZ,-46.2817,169.8464,48.9,77,100,5.41,overcast clouds
135,Nepomuk,CZ,49.4862,13.5823,50.52,80,95,2.98,overcast clouds
136,Touros,BR,-5.1989,-35.4608,84.15,67,94,11.25,overcast clouds
137,Hay River,CA,60.8156,-115.7999,22.98,42,0,6.91,clear sky
138,Bluff,NZ,-46.6,168.3333,54.37,83,100,9.01,light rain
139,Newport,GB,51.5877,-2.9984,55.11,67,12,9.55,few clouds
140,Paharpur,PK,32.1038,70.9724,86.13,24,73,7.56,broken clouds
141,Bengkulu,ID,-3.8004,102.2655,75.24,85,100,4.7,overcast clouds
142,Labuhan,ID,-6.8844,112.2051,79.48,88,100,5.88,overcast clouds
143,Thompson,CA,55.7435,-97.8558,37.56,35,40,12.66,scattered clouds
144,La Asuncion,VE,11.0333,-63.8628,83.93,65,100,19.57,overcast clouds
145,Boyolangu,ID,-8.1181,111.8935,76.24,91,100,4.03,overcast clouds
146,Georgetown,MY,5.4112,100.3354,80.53,93,20,3.44,few clouds
147,Chapais,CA,49.7834,-74.8492,31.78,62,100,4.76,overcast clouds
148,Kamaishi,JP,39.2667,141.8833,45.52,77,66,10.85,broken clouds
149,Victoria,HK,22.2855,114.1577,70.25,84,100,5.99,overcast clouds
150,Codajas,BR,-3.8367,-62.0569,80.11,89,100,3.6,overcast clouds
